,Video Title,URL
0,Alitho Saradaga Episode 247 Latest Promo | Most Loved Villain Prakash Raj this week watch on ETV,https://www.youtube.com/watch?v=zSFBdWMmrEs
1,Finally Bought A House || My New Home Tour || Astroyogi  || Rowdy Rohini,https://www.youtube.com/watch?v=ACUr4yfS3PY
2,Madhuppriya Bathukamma Song 2021 | Latest Bathukamma Song | Madhuppriya Nightingale Of Telangana,https://www.youtube.com/watch?v=n1J_eAwaEBI
3,House Of The Dragon | Official Teaser | HBO Max,https://www.youtube.com/watch?v=fNwwt25mheo
4,Dhindora | Official Trailer | BB Ki Vines,https://www.youtube.com/watch?v=IUsiTOUo3HE
5,Making of Kondapolam | Vaisshnav Tej | Rakul Preet Singh | Krish | MM Keeravani | Oct 8th,https://www.youtube.com/watch?v=BNOXF0F7pLY
6,Doctor - Chellamma Glimpse | Sivakarthikeyan | Anirudh Ravichander | Nelson Dilipkumar,https://www.youtube.com/watch?v=nAWg-XCucXg
7,Naukar rocks mumma shocks😂 #shorts,https://www.youtube.com/watch?v=nx_LVO-j7Ds
8,Payal ne di dhamki #shorts,https://www.youtube.com/watch?v=LLUmNfimIos
9,[TELUGU]  Free Fire India Live With Munna Bhai - Free Fire Telugu - Free Fire Live Telugu,https://www.youtube.com/watch?v=EYtOwsWj6k4
10,బతుకమ్మ పాట Bathukamma Song 2021 | Shankar Poddupodupu | 4K Song | Bathukamma Music,https://www.youtube.com/watch?v=mmvkC7cqz3g
11,Tindibothu chelli || Akka vs Chelli ||  Dharma Paddu 143,https://www.youtube.com/watch?v=jAuNO1vkOWk
12,Real Estate | a Short Film | Shehbaaz khan Entertainments,https://www.youtube.com/watch?v=XlSfIz_W7qw
13,Landmine + IQ 😂 Free Fire ~ Only legends Will Understand #Shorts #Short,https://www.youtube.com/watch?v=5h-d5hFVB50
14,అక్కvs చెల్లి |Akka Vs chelli | Telugu Stories | Stories in Telugu | Telugu Moral Stories,https://www.youtube.com/watch?v=nDrgtcEn8YY
15,Nataraj Master BiggBossTelugu5 elimination interview tomorrow at 10AM & 6 PM only on Star Maa Music,https://www.youtube.com/watch?v=Dyy2H1NzD7Y
16,Brother V/S Sister || Who knows each other better || Sushruth || Sreemukhi,https://www.youtube.com/watch?v=ZrtujR3JmDI
17,Allipoola Vennela | AR Rahman | Gautham Vasudev Menon | Mittapalli Surender,https://www.youtube.com/watch?v=R0B-wswTHoM
18,"Dasara Dosti Event - Roshan Promo | Dussehra Special | October 10, 6 PM | Zee Telugu",https://www.youtube.com/watch?v=IfIJvyTODC0
19,#Ravi & #Kajal ended up in a heated arguement! #BiggBossTelugu5 today at 10 PM on #StarMaa,https://www.youtube.com/watch?v=GXESgBobFnk
20,Annaatthe Annaatthe -Official Lyrical Video | ANNAATTHE | Rajinikanth| Sun Pictures|SPB|Siva|D Imman,https://www.youtube.com/watch?v=FK6dUrfYx84
21,Captaincy task lo geliche Raju evaru?? Ravi or Sunny #BiggBossTelugu5 today at 10 PM on #StarMaa,https://www.youtube.com/watch?v=XA2oS-Aa_Mo
22,Thoughts Before Engagement || Sheetal Gauthaman || Vamsi Kotu || Infinitum Media,https://www.youtube.com/watch?v=w3mvbsjqQUM
23,Oohalu Gusagusalade | Premiere Ep 130 Preview - Oct 07 2021 | Before ZEE Telugu | Telugu TV Serial,https://www.youtube.com/watch?v=JsBLefhzm24
24,Prema Entha Maduram | Premiere Ep 441 Preview - Oct 07 2021 | Before ZEE Telugu | Telugu TV Serial,https://www.youtube.com/watch?v=Xpzz-Abildg
25,Vaidehi Parinayam | Premiere Ep 112 Preview - Oct 07 2021 | Before ZEE Telugu | Telugu TV Serial,https://www.youtube.com/watch?v=vDmYdzJPQDY
26,Saranga Dariya - Episode 01 || Telugu Web Series || CAPDT,https://www.youtube.com/watch?v=DJOmM_jY2tM
27,4th contestant #Nataraj exclusive interview after elimination || Bigg Boss BuzzZ,https://www.youtube.com/watch?v=cNaTmdXHycw
28,"Most Eligible Bachelor Theatrical Trailer | Akhil Akkineni, Pooja Hegde | Bhaskar | #MEBOnOct15th",https://www.youtube.com/watch?v=oFJxjVVovQo
